Fecha,Producto_A,Producto_B,Producto_C,Producto_D,Producto_E
2020-01-15,310,366,128,154,208
2020-02-15,127,112,143,186,177
2020-03-15,361,370,111,123,191
2020-04-15,19,417,178,245,148
2020-05-15,355,306,171,111,180
2020-06-15,133,382,168,103,161
2020-07-15,417,398,300,101,130
2020-08-15,335,372,251,141,173
2020-09-15,309,368,131,104,206
2020-10-15,364,310,211,186,321
2020-11-15,455,360,202,234,186
2020-12-15,185,346,131,235,164
2021-01-15,357,358,111,241,184
2021-02-15,198,310,123,211,177
2021-03-15,366,350,143,156,211
2021-04-15,300,283,186,123,198
2021-05-15,128,260,171,104,186
2021-06-15,417,390,168,131,141
2021-07-15,64,340,300,201,130
2021-08-15,427,311,251,182,173
2021-09-15,435,263,131,208,206
2021-10-15,116,350,211,141,321
2021-11-15,221,259,202,103,186
2021-12-15,386,309,131,211,164
2022-01-15,124,310,111,186,184
2022-02-15,287,215,123,234,177
2022-03-15,135,246,143,235,211
2022-04-15,415,310,186,241,198
2022-05-15,159,301,171,211,186
2022-06-15,360,290,168,156,141
2022-07-15,324,245,300,123,130
2022-08-15,335,286,251,104,173
2022-09-15,18,311,131,131,206
2022-10-15,387,159,211,201,321
2022-11-15,111,246,202,182,186
2022-12-15,331,186,131,208,164
2023-01-15,21,310,111,141,184
2023-02-15,124,260,123,103,177
2023-03-15,215,370,143,211,211
2023-04-15,160,280,111,156,198
2023-05-15,311,312,186,104,186
2023-06-15,145,264,171,131,141
2023-07-15,389,145,168,201,130
2023-08-15,231,123,300,182,173
2023-09-15,111,386,251,208,206
2023-10-15,364,154,131,141,321
2023-11-15,357,321,211,111,186
2023-12-15,189,209,202,123,164
2024-01-15,312,111,131,143,184
2024-02-15,154,198,111,186,177
2024-03-15,386,300,123,171,211
2024-04-15,311,310,143,168,198
2024-05-15,331,123,186,300,186
